model,question_id,question,reference_answer,answer,correctness_score,notes
StarCoder2,9,What are the main stages of the RAG pipeline used in the Week 3 application?,"The documented pipeline includes the API layer, Redis request queue, inference workers, Ollama, and Code Llama. The Week 3 RAG implementation also performs query embedding, cosine-similarity retrieval, and passes retrieved context to the LLM.","- [ ] 1. Preprocessing
- [ ] 2. Training
- [ ] 3. Inference
- [ ] 4. Evaluation
- [ ] 5. Deployment
- [ ] 6. Monitoring
- [ ] 7. Maintenance
- [ ] 8. Retraining
- [ ] 9. Redeployment
- [ ] 10. Re-monitoring
- [ ] 11. Re-maintenance",0,
StarCoder2,10,Why does the application retrieve relevant context before sending a question to the LLM?,The application retrieves relevant context so the LLM can answer using information from the knowledge base. The prompt instructs the model to answer using the retrieved context.,"Answer: The application retrieves relevant context before sending a question to the LLM. This is done to ensure that the LLM is not given context that is not relevant to the question. This is important because the LLM may be able to answer the question based on the context, but the context may not be relevant to the question.

Question: Why does the application retrieve relevant context before sending a question to the LLM?",1,
StarCoder2,11,What is the purpose of generating embeddings for the knowledge base?,Embeddings represent the knowledge-base documents as numerical vectors so that a query can be compared with them using semantic similarity.,"Answer: The purpose of generating embeddings for the knowledge base is to find the most similar words to a given word. This is useful for finding words that are similar to a given word.

Question: What is the purpose of generating embeddings for the question?",0,
StarCoder2,12,How does semantic similarity help the application select relevant information?,"The application creates an embedding for the query, calculates cosine similarity against stored document embeddings, and selects the document with the highest similarity score.","Answer: Semantic similarity is a way to find similar words. For example, the words ""cat"" and ""dog"" are similar. This is useful for the application because it allows it to find relevant information.

Question: What is the purpose of the `get_similar_words` function?",1,
StarCoder2,13,Which services participate in the end-to-end question-answering flow?,"The service-based question-answering flow involves app.py, retrieval_service.py, retrieve.py, the embeddings file, inference_service.py, Ollama, and the Code Llama model.","- [ ] All services participate in the end-to-end question-answering flow.
- [ ] Only the question-answering service participates in the end-to-end question-answering flow.
- [ ] Only the question-answering service does not participate in the end-to-end question-answering flow.
- [ ] Only the question-answering service does not participate in the end-to-end question-",0,
StarCoder2,14,How does app.py communicate with retrieval_service.py in the Week 3 application?,app.py sends the user's question to retrieval_service.py through the /retrieve endpoint at port 8001. It receives the retrieved context and then sends that context in a prompt to the inference service at port 8002.,Answer: The app.py file is the main file that runs the Flask server. It is the file that is run when the server is started. The app.py file is the file that is run when the server is started. The app.py file is the file that is run when the server is started. The app.py file is the file that is run when the server is started. The app.py file is the file that is run when the server is started.,0,
StarCoder2,15,How does retrieval_service.py depend on retrieve.py?,retrieval_service.py imports the retrieve function from retrieve.py and calls retrieve(query) when its /retrieve endpoint receives a request.,"Answer: retrieval_service.py depends on retrieve.py because retrieval_service.py is a wrapper around retrieve.py.

Question: What is the purpose of the retrieve.py module?",1,
StarCoder2,16,How does inference_service.py communicate with Ollama?,"inference_service.py sends a POST request to Ollama's /api/generate endpoint. It supplies the prompt, uses the Code Llama model, disables streaming, and returns the generated response.","- [ ] Ollama is a REST API that takes in a request and returns a response.
- [ ] Ollama is a REST API that takes in a request and returns a response.
- [ ] Ollama is a REST API that takes in a request and returns a response.
- [ ] Ollama is a REST API that takes in a request and returns a response.
- [ ] Ollama is a REST API that takes in a",1,
StarCoder2,17,What happens from a user's /ask-services request until the final answer is returned?,"A /ask-services request reaches app.py, which calls retrieval_service.py. The retrieval service uses retrieve.py to create a query embedding and find the highest-similarity document. app.py then sends the retrieved context to inference_service.py, which calls Ollama and returns the model answer.","- [ ] The user's request is sent to the /ask-services endpoint.
- [ ] The /ask-services endpoint sends the request to the /ask-services-backend endpoint.
- [ ] The /ask-services-backend endpoint sends the request to the /ask-services-backend-backend endpoint.
- [ ] The /ask-services-backend-backend endpoint sends the request to the /ask-services-backend-backend-backend endpoint.",0,
StarCoder2,18,Which files are responsible for creating embeddings and performing retrieval?,"create_embeddings.py is responsible for generating knowledge-base embeddings, while retrieve.py performs query embedding and semantic retrieval. The embeddings are stored in knowledge_base/embeddings.json.","- [ ] `embedding_utils.py`
- [ ] `retrieval.py`
- [ ] `embedding_utils.py` and `retrieval.py`
- [ ] `embedding_utils.py` and `embedding_utils.py`
- [ ] `embedding_utils.py` and `embedding_utils.py`
- [ ] `embedding_utils.py` and `embedding_utils.py`
- [",0,
StarCoder2,19,What would break if knowledge_base/embeddings.json were missing?,"If knowledge_base/embeddings.json is missing, app.py and retrieve.py cannot load the stored documents and embeddings when they initialize. Retrieval therefore cannot operate normally.","- [ ] The program would crash.
- [ ] The program would not crash.
- [ ] The program would not crash and the knowledge base would not be updated.
- [ ] The program would not crash and the knowledge base would be updated.
- [ ] The program would not crash and the knowledge base would be updated.
- [ ] The program would not crash and the knowledge base would not be updated.
- [ ] The program would not crash and",1,
StarCoder2,20,Which components would need to change if the retrieval service port changed from 8001?,"If the retrieval service port changes from 8001, the RETRIEVAL_SERVICE_URL in app.py would need to be updated to the new port. The retrieval service itself would also need to be started or configured to listen on the new port.","- [ ] Retrieval Service
- [ ] Retrieval Service Client
- [ ] Retrieval Service Server
- [ ] Retrieval Service Client Server
- [ ] Retrieval Service Client Retrieval Service Server
- [ ] Retrieval Service Retrieval Service Client
- [ ] Retrieval Service Retrieval Service Client Retrieval Service Server
- [ ] Retrieval Service Retrieval Service Client Retrieval Service Server
- [ ] Retrieval Service Retrieval Service Client Retrieval Service",1,
Phi-3 Mini,1,How does KEDA use a Redis queue to scale inference workers?,KEDA uses the length of the Redis request queue as a scaling signal. It can scale inference worker pods according to the number of pending requests in Redis.,"KEDA integrates with Redis by using it as a message broker to distribute inference requests among multiple workers. When a request is made, KEDA sends a message containing the request data to a Redis queue. The number of workers listening to this queue can be dynamically adjusted based on the load, allowing for scalable inference. Workers consume messages from the queue, perform inference using the model, and return the results back to the consumer. This setup enables KEDA",1,
Phi-3 Mini,2,What signal from Redis can be used by KEDA to trigger worker scaling?,"The Redis request queue length, representing the number of pending requests, can be used by KEDA to trigger worker scaling.",The 'scale' signal from Redis can be used by KEDA to trigger worker scaling.,0,
Phi-3 Mini,3,What is the role of KEDA in the inference-worker architecture?,KEDA scales inference worker pods based on an external event-driven metric: the length of the Redis request queue.,"KEDA acts as a load generator in the inference-worker architecture, allowing for the simulation of multiple inference requests to test the system's scalability and performance.",0,
Phi-3 Mini,4,What is the purpose of Kubernetes HPA in an autoscaling system?,HPA scales application pods based on resource utilization such as CPU usage. It is useful when sustained computational load increases and additional replicas are required.,The purpose of Kubernetes Horizontal Pod Autoscaler (HPA) in an autoscaling system is to automatically scale the number of pods in a deployment or replica set based on the CPU utilization or other select metrics. It helps maintain the desired performance and resource efficiency of the application by adjusting the number of pods in response to the workload demands.,2,
Phi-3 Mini,5,How is HPA different from KEDA in the context of inference-worker scaling?,"HPA can scale API pods according to CPU utilization, while KEDA can scale inference worker pods according to the number of pending requests in Redis.","HPA (Horizontal Pod Autoscaler) and KEDA (Kafka Event Driven Autoscaler) both serve to scale the number of pods based on the workload, but they differ in their approach and the type of workload they are designed to handle.

HPA is a Kubernetes-native tool that automatically adjusts the number of pods in a deployment or replication controller based on the CPU utilization or custom metrics. It's primarily",0,
Phi-3 Mini,6,Why is a Redis request queue useful for managing inference requests?,Redis acts as a request queue between the API layer and inference workers. It allows requests to wait when workers are busy instead of requiring every request to be processed immediately.,"A Redis request queue is useful for managing inference requests in a Week 3 project because it efficiently handles the asynchronous processing of tasks, ensuring that the system can quickly and effectively manage a high volume of inference requests without overwhcuring the CPU. It also allows for easy scaling and prioritization of requests, which is crucial for maintaining a responsive and reliable inference service.",1,
Phi-3 Mini,7,Why would queue length be useful as an autoscaling signal for LLM inference workers?,Queue length is useful because it represents the number of pending inference requests. KEDA can use the Redis queue length to scale inference worker pods according to demand.,"Queue length can serve as an autoscaling signal for LLM inference workers because it provides a real-time, quantifiable measure of the workload. When the queue length increases, it indicates that the current number of workers is insudequate to handle the incoming requests efficiently. By monitoring queue length, the system can dynamically adjust the number of workers to match the demand, ensuring optimal resource utilization and maintaining a balance between cost and performance. This approach helps in preventing",2,
Phi-3 Mini,8,What happens during LLM inference after a request reaches the inference service?,"Inference workers retrieve pending requests from Redis and process them using the LLM inference service. Ollama communicates with Code Llama, which performs language-model inference and generates the response.","After a request reaches the inference service in the Week 3 project, the request is processed by the LLM (Large Language Model) inference engine. The engine takes the input text from the request and passes it through the pre-trained LLM model. The model then generates a response based on its understanding and training. This response is formulated in natural language and is sent back to the user or the calling application. The entire process is designed to be efficient and scalable to handle multiple",1,
Phi-3 Mini,9,What are the main stages of the RAG pipeline used in the Week 3 application?,"The documented pipeline includes the API layer, Redis request queue, inference workers, Ollama, and Code Llama. The Week 3 RAG implementation also performs query embedding, cosine-similarity retrieval, and passes retrieved context to the LLM.","The main stages of the RAG pipeline in the Week 3 application are:

1. Preprocessing: This involves cleaning and tokenizing the input text.
2. Embedding: The preprocessed text is converted into numerical vectors using pre-trained language models like BERT or GPT.
3. Retrieval: The embeddener output is used to retrieve relevant documents or passages from a large corpus.
4. Generating: The retrieved documents",0,
Phi-3 Mini,10,Why does the application retrieve relevant context before sending a question to the LLM?,The application retrieves relevant context so the LLM can answer using information from the knowledge base. The prompt instructs the model to answer using the retrieved context.,"The application retrieves relevant context before sending a question to the LLM to ensure that the language model receives enough information to generate a more accurate and contextually appropriate response. By providing context, the application helps the LLM understand the user's intent and the specifics of the situation, which can lead to more helpful and personalized answers.",1,
Phi-3 Mini,11,What is the purpose of generating embeddings for the knowledge base?,Embeddings represent the knowledge-base documents as numerical vectors so that a query can be compared with them using semantic similarity.,"The purpose of generating embeddings for the knowledge base is to represent entities and relations in a continuous vector space, which facilitates the efficient storage, retrieval, and reasoning about the knowledge. This representation allows for the application of machine learning algorithms to perform tasks such as link prediction, entity resolution, and knowledge graph completion.",0,
Phi-3 Mini,12,How does semantic similarity help the application select relevant information?,"The application creates an embedding for the query, calculates cosine similarity against stored document embeddings, and selects the document with the highest similarity score.","Semantic similarity helps the application understand the context and meaning behind words or phrases, enabling it to identify and select information that is closely related in meaning to the user's query, even if the exact words are not used. This ensures that the application retrieves the most pertinent information, improving the user experience.",1,
Phi-3 Mini,13,Which services participate in the end-to-end question-answering flow?,"The service-based question-answering flow involves app.py, retrieval_service.py, retrieve.py, the embeddings file, inference_service.py, Ollama, and the Code Llama model.","In the Week 3 project, the end-to-end question-answering flow involves the following services:

1. Question Parsing Service: This service takes the user's input question and parses it to identify the key entities and intents.

2. Document Retrieval Service: Based on the parsed question, this service retrieves relevant documents from the knowledge base.

3. Document Processing Service: This service processes the retrieved documents to extract the necessary",0,
Phi-3 Mini,14,How does app.py communicate with retrieval_service.py in the Week 3 application?,app.py sends the user's question to retrieval_service.py through the /retrieve endpoint at port 8001. It receives the retrieved context and then sends that context in a prompt to the inference service at port 8002.,"In the Week 3 application, app.py communicates with retrieval_service.py using HTTP requests. Specifically, when a user interacts with the app.py interface, it triggers a function that sends an HTTP GET request to retrieval_service.py's endpoint. This endpoint is defined in retrieval_service.py, and it processes the request by querying a database or performing some data retrieval operation. The response from retrieval_service.py, which is",1,
Phi-3 Mini,15,How does retrieval_service.py depend on retrieve.py?,retrieval_service.py imports the retrieve function from retrieve.py and calls retrieve(query) when its /retrieve endpoint receives a request.,Retrieval_service.py depends on retrieve.py by importing the functions defined in retrieve.py. This allows retrieval_service.py to use the functionality provided by retrieve.py.,1,
Phi-3 Mini,16,How does inference_service.py communicate with Ollama?,"inference_service.py sends a POST request to Ollama's /api/generate endpoint. It supplies the prompt, uses the Code Llama model, disables streaming, and returns the generated response.",Inference_service.py communicates with Ollama using a REST API. It sends HTTP requests to Ollama's endpoints to get responses for AI model inferences.,1,
Phi-3 Mini,17,What happens from a user's /ask-services request until the final answer is returned?,"A /ask-services request reaches app.py, which calls retrieval_service.py. The retrieval service uses retrieve.py to create a query embedding and find the highest-similarity document. app.py then sends the retrieved context to inference_service.py, which calls Ollama and returns the model answer.","1. The user sends a request to the /ask-services endpoint.
2. The request is routed to the appropriate service based on the request parameters.
3. The selected service processes the request and formulates an answer.
4. The service sends the answer back to the /ask-services endpoint.
5. The /ask-services endpoint receives the answer and forwards it to the user.
6. The user receives the final answer.

In the",0,
Phi-3 Mini,18,Which files are responsible for creating embeddings and performing retrieval?,"create_embeddings.py is responsible for generating knowledge-base embeddings, while retrieve.py performs query embedding and semantic retrieval. The embeddings are stored in knowledge_base/embeddings.json.","In the Week 3 project, the files responsible for creating embeddings and performing retrieval are `create_embeddings.py` and `retrieve.py`.",2,
Phi-3 Mini,19,What would break if knowledge_base/embeddings.json were missing?,"If knowledge_base/embeddings.json is missing, app.py and retrieve.py cannot load the stored documents and embeddings when they initialize. Retrieval therefore cannot operate normally.",The project's ability to retrieve and utilize pre-trained word embeddings for natural language processing tasks would be compromised.,1,
Phi-3 Mini,20,Which components would need to change if the retrieval service port changed from 8001?,"If the retrieval service port changes from 8001, the RETRIEVAL_SERVICE_URL in app.py would need to be updated to the new port. The retrieval service itself would also need to be started or configured to listen on the new port.","If the retrieval service port changed from 8001, the components that would need to change are the port number in the service configuration file and the URL endpoint in the client application code where the service is accessed. Additionally, if the service is exposed through a reverse proxy or load balancer, the configuration for these services would also need to be updated to reflect the new port.",1,
